20: 2432902008176640000
84: 3314240134565353266999387579130131288000666286242049487118846032383059131291716864129885722968716753156177920000000000000000000
81: 5797126020747367985879734231578109105412357244731625958745865049716390179693892056256184534249745940480000000000000000000
40: 815915283247897734345611269596115894272000000000
63: 1982608315404440064116146708361898137544773690227268628106279599612729753600000000000000
26: 403291461126605635584000000
61: 507580213877224798800856812176625227226004528988036003099405939480985600000000000000
32: 263130836933693530167218012160000000
27: 10888869450418352160768000000
86: 24227095383672732381765523203441259715284870552429381750838764496720162249742450276789464634901319465571660595200000000000000000000
79: 894618213078297528685144171539831652069808216779571907213868063227837990693501860533361810841010176000000000000000000
25: 15511210043330985984000000
68: 2480035542436830599600990418569171581047399201355367672371710738018221445712183296000000000000000
36: 371993326789901217467999448150835200000000
95: 10329978488239059262599702099394727095397746340117372869212250571234293987594703124871765375385424468563282236864226607350415360000000000000000000000
83: 39455239697206586511897471180120610571436503407643446275224357528369751562996629334879591940103770870906880000000000000000000
96: 991677934870949689209571401541893801158183648651267795444376054838492222809091499987689476037000748982075094738965754305639874560000000000000000000000
71: 850478588567862317521167644239926010288584608120796235886430763388588680378079017697280000000000000000
7: 5040
1: 1
2: 2
88: 185482642257398439114796845645546284380220968949399346684421580986889562184028199319100141244804501828416633516851200000000000000000000
28: 304888344611713860501504000000
60: 8320987112741390144276341183223364380754172606361245952449277696409600000000000000
11: 39916800
55: 12696403353658275925965100847566516959580321051449436762275840000000000000
23: 25852016738884976640000
24: 620448401733239439360000
89: 16507955160908461081216919262453619309839666236496541854913520707833171034378509739399912570787600662729080382999756800000000000000000000
74: 330788544151938641225953028221253782145683251820934971170611926835411235700971565459250872320000000000000000
13: 6227020800
77: 145183092028285869634070784086308284983740379224208358846781574688061991349156420080065207861248000000000000000000
98: 9426890448883247745626185743057242473809693764078951663494238777294707070023223798882976159207729119823605850588608460429412647567360000000000000000000000
64: 126886932185884164103433389335161480802865516174545192198801894375214704230400000000000000
75: 24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000
41: 33452526613163807108170062053440751665152000000000
6: 720
69: 171122452428141311372468338881272839092270544893520369393648040923257279754140647424000000000000000
43: 60415263063373835637355132068513997507264512000000000
39: 20397882081197443358640281739902897356800000000
37: 13763753091226345046315979581580902400000000
16: 20922789888000
15: 1307674368000
53: 4274883284060025564298013753389399649690343788366813724672000000000000
38: 523022617466601111760007224100074291200000000
82: 475364333701284174842138206989404946643813294067993328617160934076743994734899148613007131808479167119360000000000000000000
4: 24
46: 5502622159812088949850305428800254892961651752960000000000
12: 479001600
66: 544344939077443064003729240247842752644293064388798874532860126869671081148416000000000000000
3: 6
22: 1124000727777607680000
50: 30414093201713378043612608166064768844377641568960512000000000000
51: 1551118753287382280224243016469303211063259720016986112000000000000
18: 6402373705728000
76: 1885494701666050254987932260861146558230394535379329335672487982961844043495537923117729972224000000000000000000
100: 93326215443944152681699238856266700490715968264381621468592963895217599993229915608941463976156518286253697920827223758251185210916864000000000000000000000000
99: 933262154439441526816992388562667004907159682643816214685929638952175999932299156089414639761565182862536979208272237582511852109168640000000000000000000000
90: 1485715964481761497309522733620825737885569961284688766942216863704985393094065876545992131370884059645617234469978112000000000000000000000
59: 138683118545689835737939019720389406345902876772687432540821294940160000000000000
97: 96192759682482119853328425949563698712343813919172976158104477319333745612481875498805879175589072651261284189679678167647067832320000000000000000000000
33: 8683317618811886495518194401280000000
